DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
2017/2/10,0.133903329,0.306823,-0.22918,0.366041,5.250113895,0.392267,0.887108014,-0.197068404,0.204997,-0.010056196,0.310167499,0.327534431,0.077899,-0.23228,2.318531,0.066851938,0.231436,-0.06663,2.868077,-0.50544,0.197254,,5.926642801,47.33333,1.01378566,,0.224292584,0.781589,0.887108014,0.313235,0.152807,-0.18314
2017/2/11,0.133903329,0.304903,-0.22794,0.365908,5.250113895,0.392267,0.887108014,-0.197068404,0.20169,-0.010056196,0.310167499,0.327534431,0.077899,-0.23228,2.318531,0.066851938,0.231436,-0.06601,2.868077,-0.50544,0.202769,,5.926642801,47.33333,1.01378566,,0.224292584,0.819846,0.887108014,0.313235,0.13856,-0.18314
2017/2/12,0.203546483,0.304903,-0.22655,0.365908,5.250113895,0.392267,0.887108014,-0.197068404,0.19835,-0.010056196,0.310167499,0.327534431,0.077899,-0.23228,2.318531,-0.005712521,0.231436,-0.0667,2.993636,-0.50544,0.210094,,5.926642801,47.33333,1.01378566,,0.224292584,0.872761,0.887108014,0.313235,0.137112,-0.18314
2017/2/13,0.191002996,0.306926,-0.22087,0.35494,5.250113895,0.386525,0.783972125,-0.197068404,0.238857,-0.010056196,0.310167499,0.327534431,0.077899,-0.23228,2.285142,-0.005712521,0.231436,-0.0644,2.993636,-0.50544,0.230865,,5.933317153,47.33333,1.01378566,,0.223645275,0.848569,0.783972125,0.302017,0.118383,-0.18121
2017/2/14,0.187840322,0.314817,-0.2163,0.355408,5.250113895,0.389796,0.910801394,-0.197068404,0.369883,-0.010056196,0.210781208,0.327534431,0.287182,-0.1399,2.251753,-0.005712521,0.231436,-0.06739,2.963192,-0.45104,0.251227,,5.90965354,47.33333,0.613553726,,0.227205474,0.847639,0.910801394,0.302017,0.074594,-0.18763
2017/2/15,0.158991095,0.320087,-0.2103,0.355482,5.250113895,0.389796,1.02835408,-0.266286645,0.34324,-0.010056196,0.210781208,0.327534431,0.287182,-0.1399,0.513058,-0.005712521,0.231436,-0.07218,2.954592,-0.45104,0.237926,,6.005400158,47.33333,0.613553726,,0.233123729,0.872335,1.02835408,0.296408,0.064285,-0.21562
2017/2/16,0.136828583,0.322435,-0.22436,0.339934,5.246241458,0.391455,1.184155664,-0.16419295,0.348796,-0.010056196,0.210781208,0.327534431,0.287182,-0.1399,0.499328,-0.005712521,0.231436,-0.07281,2.961472,-0.45104,0.256541,,6.005400158,47.33333,0.613553726,,0.231274274,0.954512,1.184155664,0.296408,0.049327,-0.21783
2017/2/17,0.10812217,0.329894,-0.22517,0.33976,5.246241458,0.391455,1.349823322,-0.318181818,0.350026,-0.000591541,0.275187834,0.339028684,0.389941,-0.10323,0.490375,-0.005712521,0.401163,-0.07265,2.961472,-0.45104,0.151277,,6.004252111,47.33333,0.717172114,,0.234649528,0.961942,1.349823322,0.300013,0.051287,-0.22091
2017/2/18,0.017411993,0.333373,-0.22352,0.33976,4.398897421,0.396164,1.356484763,-0.318181818,0.348083,-0.000591541,0.275187834,0.339028684,0.45362,-0.18998,0.490375,-0.005712521,0.401163,-0.07426,2.961472,-0.45104,0.122361,,6.004252111,47.33333,0.717172114,,0.203488372,0.96674,1.356484763,0.300013,0.019774,-0.23341
2017/2/19,-0.00501995,0.333373,-0.22186,0.33976,4.540715296,0.396164,1.383512545,-0.318181818,0.350049,-0.032359679,0.202886175,0.317741771,0.45362,-0.18998,0.490375,0.770125749,0.401163,-0.0698,3.064671,-0.45104,0.058736,,5.799010568,47.33333,0.491532368,,0.205825243,0.976407,1.383512545,0.300013,0.00821,-0.23341
