DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
20090511,0.982566448,,0.984555985,1.00039653,,0.996996997,0.990573152,,0.945272354,,,,,,0.97881997,0.956628192,,,0.98213387,0.974625144,,,0.990825688,,1.006917543,,0.954358162,,0.995076445,0.976406534,,0.949056604
20090512,1.015997673,,1.009803922,0.994549869,,1.001807229,1.004187286,,0.999456374,,,,,,0.994332818,1.019378428,,,1.02100948,1.031360947,,,0.989337823,,1.001648805,,1.019594819,,1.0875,1.029474243,,1.013121272
20090513,0.999141139,,1.001941748,1.016091267,,1.001803969,0.9969674,,1.016861572,,,,,,1.012953368,1.014705882,,,1.005269762,1.007745267,,,1.005104935,,0.998353909,,1.025081433,,1.015086207,1.007737942,,1.009026688
20090514,0.99226361,,0.989147287,0.993920377,,1.00060024,0.998479087,,0.949451725,,,,,,0.999488491,1.001060445,,,0.978532202,0.971534301,,,0.972065463,,0.987633965,,0.967905942,,0.995046001,0.97312516,,0.970439518
20090515,1.007219174,,0.999216301,1.002515785,,1.00779844,1.000761615,,1.010985915,,,,,,1.002047083,1.021892655,,,0.994132653,0.998828011,,,1.032801161,,1.002782415,,0.999015102,,1.001659554,0.99526565,,1.013226453
20090518,0.987958716,,0.996470588,1.006396693,,0.998809524,1,,0.982167735,,,,,,0.987231869,0.986523842,,,0.974595843,0.960985626,,,0.989881956,,1.001109878,,0.960893855,,0.993136095,0.969080338,,1.007120253
20090519,1.009286129,,1.013380559,0.98978145,,0.999404052,0.998858447,,1.045673759,,,,,,1.007759959,1.021366025,,,1.019220642,1.032661783,,,0.994889267,,1.002771619,,1.031121751,,1,1.025634033,,1.034564022
20090520,1.028464635,,0.988737864,1.006372258,,1.002385212,0.999619048,,0.992132393,,,,,,0.976899384,1.002057613,,,0.992508396,0.99054094,,,0.985445205,,1,,0.982089552,,0.992612011,0.992023398,,0.973044799
20090521,0.995526978,,1.002749411,1.015314387,,0.997620464,0.992759146,,0.985780695,,,,,,0.994219653,1.001368925,,,0.996876627,0.994031632,,,0.996814364,,1.001658375,,0.987166498,,0.999519808,0.994907531,,0.991806477
20090522,1.01713002,,0.992557775,1.007445008,,0.998211091,0.996928983,,1.006102635,,,,,,1.002642706,1.013328776,,,1.008616188,1.004803362,,,0.995061011,,0.998344371,,1.009921314,,1.000960846,1.010237069,,1.012195122
20090525,1.010767532,,1.001973165,1.001967465,,0.995818399,0.989988448,,1.014061208,,,,,,0.98313126,0.998313659,,,0.997929071,0.99581715,,,0.993868613,,0.997512438,,1.010501355,,0.994240461,0.997866667,,0.997668092
20090526,0.989620322,,0.995667586,0.996264368,,0.99640072,0.992609879,,0.989396411,,,,,,0.998391421,0.991554054,,,0.990402075,0.97959796,,,1.00440658,0.995377504,0.997783319,,0.97753939,,1.004586049,0.988776056,,0.987144527
